Start,Start_Timestamp,PM2.5-Pollutant,PM2.5-Value,PM2.5-Validity,PM2.5-Verification,PM10-Pollutant,PM10-Value,PM10-Validity,PM10-Verification,NO2-Pollutant,NO2-Value,NO2-Validity,NO2-Verification,O3-Pollutant,O3-Value,O3-Validity,O3-Verification,SO2-Pollutant,SO2-Value,SO2-Validity,SO2-Verification
2013-01-31,1359590400,6001.0,14.754999999999999,1.0,1.0,5.0,18.075000000000003,1.0,1.0,8.0,18.060000000000002,1.0,1.0,7.0,38.974999999999994,1.0,1.0,1.0,1.33,1.0,1.0
2013-02-28,1362009600,6001.0,19.75,1.0,1.0,5.0,22.64,1.0,1.0,8.0,20.98,1.0,1.0,7.0,43.905,1.0,1.0,1.0,1.33,1.0,1.0
2013-03-31,1364688000,6001.0,20.935000000000002,1.0,1.0,5.0,24.975,1.0,1.0,8.0,18.475,1.0,1.0,7.0,72.78,1.0,1.0,1.0,2.27,1.0,1.0
2013-04-30,1367280000,6001.0,15.86,1.0,1.0,5.0,22.425,1.0,1.0,8.0,16.455,1.0,1.0,7.0,72.145,1.0,1.0,1.0,1.33,1.0,1.0
2013-05-31,1369958400,6001.0,10.73,1.0,1.0,5.0,17.41,1.0,1.0,8.0,14.379999999999999,1.0,1.0,7.0,63.385000000000005,1.0,1.0,1.0,1.33,1.0,1.0
2013-06-30,1372550400,6001.0,7.495,1.0,1.0,5.0,13.175,1.0,1.0,8.0,10.76,1.0,1.0,7.0,66.49000000000001,1.0,1.0,1.0,1.33,1.0,1.0
2013-07-31,1375228800,6001.0,8.68,1.0,1.0,5.0,17.66,1.0,1.0,8.0,10.225000000000001,1.0,1.0,7.0,68.32,1.0,1.0,1.0,1.33,1.0,1.0
2013-08-31,1377907200,6001.0,9.48,1.0,1.0,5.0,18.655,1.0,1.0,8.0,13.855,1.0,1.0,7.0,61.004999999999995,1.0,1.0,1.0,1.33,1.0,1.0
2013-09-30,1380499200,6001.0,8.32,1.0,1.0,5.0,12.405000000000001,1.0,1.0,8.0,15.085,1.0,1.0,7.0,37.254999999999995,1.0,1.0,1.0,1.33,1.0,1.0
2013-10-31,1383177600,6001.0,12.61,1.0,1.0,5.0,17.665,1.0,1.0,8.0,20.240000000000002,1.0,1.0,7.0,29.16,1.0,1.0,1.0,1.33,1.0,1.0
2013-11-30,1385769600,6001.0,11.07,1.0,1.0,5.0,13.375,1.0,1.0,8.0,19.93,1.0,1.0,7.0,26.285,1.0,1.0,1.0,1.33,1.0,1.0
2013-12-31,1388448000,6001.0,11.285,1.0,1.0,5.0,13.35,1.0,1.0,8.0,20.725,1.0,1.0,7.0,27.75,1.0,1.0,1.0,1.33,1.0,1.0
2014-01-31,1391126400,6001.0,20.64,1.0,1.0,5.0,21.85,1.0,1.0,8.0,23.439999999999998,1.0,1.0,7.0,26.6,1.0,1.0,1.0,1.33,2.0,1.0
2014-02-28,1393545600,6001.0,13.033407530159494,1.0,1.0,5.0,16.235,1.0,1.0,8.0,22.145,1.0,1.0,7.0,37.260000000000005,1.0,1.0,1.0,1.33,2.0,1.0
2014-03-31,1396224000,6001.0,22.53,1.0,1.0,5.0,29.305,1.0,1.0,8.0,21.950000000000003,1.0,1.0,7.0,45.525000000000006,1.0,1.0,1.0,1.33,2.0,1.0
2014-04-30,1398816000,6001.0,14.325,1.0,1.0,5.0,20.205,1.0,1.0,8.0,14.82,1.0,1.0,7.0,64.57,1.0,1.0,1.0,1.33,2.0,1.0
2014-05-31,1401494400,6001.0,6.395,1.0,1.0,5.0,10.325,1.0,1.0,8.0,11.575,1.0,1.0,7.0,66.61,1.0,1.0,1.0,1.33,2.0,1.0
2014-06-30,1404086400,6001.0,6.665,1.0,1.0,5.0,11.78,1.0,1.0,8.0,9.2,1.0,1.0,7.0,61.64,1.0,1.0,1.0,1.33,2.0,1.0
2014-07-31,1406764800,6001.0,13.45,1.0,1.0,5.0,21.02,1.0,1.0,8.0,11.42,1.0,1.0,7.0,65.465,1.0,1.0,1.0,1.33,2.0,1.0
2014-08-31,1409443200,6001.0,8.335,1.0,1.0,5.0,12.285,1.0,1.0,8.0,11.575,1.0,1.0,7.0,57.66,1.0,1.0,1.0,1.33,2.0,1.0
2014-09-30,1412035200,6001.0,16.884999999999998,1.0,1.0,5.0,22.36,1.0,1.0,8.0,14.335,1.0,1.0,7.0,47.86,1.0,1.0,1.0,1.33,2.0,1.0
2014-10-31,1414713600,6001.0,19.314999999999998,1.0,1.0,5.0,23.305,1.0,1.0,8.0,20.240000000000002,1.0,1.0,7.0,18.22,1.0,1.0,1.0,1.33,2.0,1.0
2014-11-30,1417305600,6001.0,25.71,1.0,1.0,5.0,28.465,1.0,1.0,8.0,20.33,1.0,1.0,7.0,13.545,1.0,1.0,1.0,1.33,2.0,1.0
2014-12-31,1419984000,6001.0,12.605,1.0,1.0,5.0,14.295,1.0,1.0,8.0,19.604999999999997,1.0,1.0,7.0,30.095,1.0,1.0,1.0,1.33,2.0,1.0
2015-01-31,1422662400,6001.0,10.94,1.0,1.0,5.0,13.43,1.0,1.0,8.0,16.715,1.0,1.0,7.0,41.545,1.0,1.0,1.0,1.0,2.0,1.0
2015-02-28,1425081600,6001.0,19.32,1.0,1.0,5.0,24.19,1.0,1.0,8.0,24.145,1.0,1.0,7.0,38.96,1.0,1.0,1.0,1.0,2.0,1.0
2015-03-31,1427760000,6001.0,17.994999999999997,1.0,1.0,5.0,22.9,1.0,1.0,8.0,18.43,1.0,1.0,7.0,49.165000000000006,1.0,1.0,1.0,1.0,2.0,1.0
2015-04-30,1430352000,6001.0,9.705,1.0,1.0,5.0,15.175,1.0,1.0,8.0,12.524999999999999,1.0,1.0,7.0,63.61,1.0,1.0,1.0,1.0,2.0,1.0
2015-05-31,1433030400,6001.0,8.684999999999999,1.0,1.0,5.0,15.27,1.0,1.0,8.0,12.72,1.0,1.0,7.0,66.055,1.0,1.0,1.0,1.0,2.0,1.0
2015-06-30,1435622400,6001.0,7.785,1.0,1.0,5.0,14.675,1.0,1.0,8.0,10.825,1.0,1.0,7.0,63.8,1.0,1.0,1.0,1.0,2.0,1.0
2015-07-31,1438300800,6001.0,8.92,1.0,1.0,5.0,15.975000000000001,1.0,1.0,8.0,11.72,1.0,1.0,7.0,61.275,1.0,1.0,1.0,1.0,2.0,1.0
2015-08-31,1440979200,6001.0,13.649999999999999,1.0,1.0,5.0,24.825,1.0,1.0,8.0,14.129999999999999,1.0,1.0,7.0,64.58500000000001,1.0,1.0,1.0,1.0,2.0,1.0
2015-09-30,1443571200,6001.0,6.52,1.0,1.0,5.0,11.11,1.0,1.0,8.0,17.305,1.0,1.0,7.0,42.475,1.0,1.0,1.0,1.0,2.0,1.0
2015-10-31,1446249600,6001.0,21.634999999999998,1.0,1.0,5.0,29.105,1.0,1.0,8.0,27.75,1.0,1.0,7.0,15.39,1.0,1.0,1.0,3.0,1.0,1.0
2015-11-30,1448841600,6001.0,10.46,1.0,1.0,5.0,13.83,1.0,1.0,8.0,20.11,1.0,1.0,7.0,27.17,1.0,1.0,1.0,1.0,2.0,1.0
2015-12-31,1451520000,6001.0,11.565,1.0,1.0,5.0,15.34,1.0,1.0,8.0,18.39,1.0,1.0,7.0,27.5,1.0,1.0,1.0,3.0,1.0,1.0
2016-01-31,1454198400,6001.0,19.0,1.0,1.0,5.0,20.815,1.0,1.0,8.0,23.315,1.0,1.0,7.0,20.46,1.0,1.0,1.0,3.33,1.0,1.0
2016-02-29,1456704000,6001.0,11.0,1.0,1.0,5.0,12.655000000000001,1.0,1.0,8.0,15.43,1.0,1.0,7.0,42.730000000000004,1.0,1.0,1.0,3.11,1.0,1.0
2016-03-31,1459382400,6001.0,18.0,1.0,1.0,5.0,19.395,1.0,1.0,8.0,15.48,1.0,1.0,7.0,44.67,1.0,1.0,1.0,1.33,2.0,1.0
2016-04-30,1461974400,6001.0,10.0,1.0,1.0,5.0,14.02,1.0,1.0,8.0,12.845,1.0,1.0,7.0,60.06,1.0,1.0,1.0,1.33,2.0,1.0
2016-05-31,1464652800,6001.0,13.0,1.0,1.0,5.0,22.67,1.0,1.0,8.0,10.44,1.0,1.0,7.0,75.53,1.0,1.0,1.0,1.33,2.0,1.0
2016-06-30,1467244800,6001.0,11.0,1.0,1.0,5.0,16.795,1.0,1.0,8.0,10.62,1.0,1.0,7.0,66.35499999999999,1.0,1.0,1.0,1.33,2.0,1.0
2016-07-31,1469923200,6001.0,8.0,1.0,1.0,5.0,13.635000000000002,1.0,1.0,8.0,8.754999999999999,1.0,1.0,7.0,60.07,1.0,1.0,1.0,1.33,2.0,1.0
2016-08-31,1472601600,6001.0,7.0,1.0,1.0,5.0,11.895,1.0,1.0,8.0,10.725000000000001,1.0,1.0,7.0,51.125,1.0,1.0,1.0,1.33,2.0,1.0
2016-09-30,1475193600,6001.0,13.0,1.0,1.0,5.0,25.025,1.0,1.0,8.0,15.09,1.0,1.0,7.0,52.745000000000005,1.0,1.0,1.0,1.33,2.0,1.0
2016-10-31,1477872000,6001.0,13.0,1.0,1.0,5.0,15.149999999999999,1.0,1.0,8.0,14.64,1.0,1.0,7.0,15.940000000000001,1.0,1.0,1.0,1.33,2.0,1.0
2016-11-30,1480464000,6001.0,13.0,1.0,1.0,5.0,15.055,1.0,1.0,8.0,25.175,1.0,1.0,7.0,16.0,1.0,1.0,1.0,1.33,2.0,1.0
2016-12-31,1483142400,6001.0,16.0,1.0,1.0,5.0,16.445,1.0,1.0,8.0,26.655,1.0,1.0,7.0,19.395,1.0,1.0,1.0,1.33,2.0,1.0
2017-01-31,1485820800,6001.0,23.81,1.0,1.0,5.0,23.994999999999997,1.0,1.0,8.0,23.53,1.0,1.0,7.0,30.14,1.0,1.0,1.0,1.33,2.0,1.0
2017-02-28,1488240000,6001.0,32.885000000000005,1.0,1.0,5.0,34.80500000000001,1.0,1.0,8.0,20.735,1.0,1.0,7.0,41.22,1.0,1.0,1.0,1.33,2.0,1.0
2017-03-31,1490918400,6001.0,12.03,1.0,1.0,5.0,14.23,1.0,1.0,8.0,14.535,1.0,1.0,7.0,52.94,1.0,1.0,1.0,1.33,2.0,1.0
2017-04-30,1493510400,6001.0,9.03,1.0,1.0,5.0,11.559999999999999,1.0,1.0,8.0,7.8149999999999995,1.0,1.0,7.0,67.765,1.0,1.0,1.0,1.33,2.0,1.0
2017-05-31,1496188800,6001.0,11.41,1.0,1.0,5.0,17.28,1.0,1.0,8.0,9.83,1.0,1.0,7.0,67.69,1.0,1.0,1.0,1.33,2.0,1.0
2017-06-30,1498780800,6001.0,8.5,1.0,1.0,5.0,14.425,1.0,1.0,8.0,7.6,1.0,1.0,7.0,64.495,1.0,1.0,1.0,1.33,2.0,1.0
